dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Railways,legacy,vertex_add_50pct,1,0.9825131653617625,0.0,0.978515625,0.0,0.021484375,0.0,74.2451171875,0.16913045902037993
Railways,legacy,vertex_delete_30pct,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,39.2275390625,0.1299544580397196
Railways,legacy,vertex_delete_50pct,1,0.9928631194931944,0.0,0.9912109375,0.0,0.0087890625,0.0,31.15625,0.10099512501619756
Road,legacy,compound,1,0.8287178952487311,0.0,0.7919921875,0.0,0.2080078125,0.0,38.0859375,0.08500362501945347
Road,legacy,crop_half_x,1,0.9968253968253968,0.0,0.99609375,0.0,0.00390625,0.0,66.826171875,0.12008575000800192
Road,legacy,no_attack,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,67.697265625,0.13187941705109552
Road,legacy,noise_10pct_0p6tau,1,0.9944491628150685,0.0,0.9931640625,0.0,0.0068359375,0.0,67.701171875,0.12352274998556823
Road,legacy,noise_50pct_1p4tau,1,0.8297216844473545,0.0,0.796875,0.0,0.203125,0.0,67.7265625,0.12582216697046533
Road,legacy,object_delete_30pct,1,0.9968253968253968,0.0,0.99609375,0.0,0.00390625,0.0,48.9541015625,0.09923437505494803
Road,legacy,object_delete_90pct,1,0.8775360348869248,0.0,0.8505859375,0.0,0.1494140625,0.0,7.8564453125,0.014884000003803521
Road,legacy,reverse_objects,1,0.998416467731765,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.13210954098030925
Road,legacy,reverse_vertices,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,67.6962890625,0.1170710000442341
Road,legacy,rotation_135,1,0.9984126984126984,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.11262791603803635
Road,legacy,rotation_180,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,67.697265625,0.12301949999528006
Road,legacy,rotation_225,1,0.9984126984126984,0.0,0.998046875,0.0,0.001953125,0.0,67.697265625,0.11449679097859189
